Zone;Roche's Hole;50,50;66,70;1;
Zone;Field of Laudable Wakey's;34,50;50,66;0;
Zone;Gritty Melmoths Field;24,50;34,64;0;
Zone;Cave of Meters;8,50;24,62;0;
Zone;Ocean of Protest;-28,50;8,76;0;
Zone;Nouronihar Ocean;-48,50;-28,76;0;
Zone;Bakufu Village;-58,50;-48,58;0;
Zone;Fat 'Just Fields;-72,50;-58,62;0;
Zone;Gling Sea;-92,50;-72,74;0;
Zone;Town of Dividing Raynal;-104,50;-92,60;0;
Zone;Cave of Jarring Anthropometrist;-118,50;-104,58;0;
Tile;;48,22;1;1;7;
Tile;;48,23;1;1;7;
Tile;;48,24;1;1;7;
Tile;;48,25;1;1;7;
Tile;;48,26;1;1;7;
Tile;;48,27;1;1;7;
Tile;;48,28;1;1;7;
Tile;;49,28;1;1;7;
Tile;;50,28;1;1;7;
Tile;;51,28;1;1;7;
Tile;;52,28;1;1;7;
Tile;;53,28;1;1;7;
Tile;;54,28;1;1;7;
Tile;;55,28;1;1;7;
Tile;;56,28;1;1;7;
Tile;;57,28;1;1;7;
Tile;;58,28;1;1;7;
Tile;;59,28;1;1;7;
Tile;;60,28;1;1;7;
Tile;;61,28;1;1;7;
Tile;;62,28;1;1;7;
Tile;;63,28;1;1;7;
Tile;;64,28;1;1;7;
Tile;;64,6;1;1;7;
Tile;;64,7;1;1;7;
Tile;;64,8;1;1;7;
Tile;;64,9;1;1;7;
Tile;;64,10;1;1;7;
Tile;;64,11;1;1;7;
Tile;;64,12;1;1;7;
Tile;;64,13;1;1;7;
Tile;;64,14;1;1;7;
Tile;;64,15;1;1;7;
Tile;;64,16;1;1;7;
Tile;;64,17;1;1;7;
Tile;;64,18;1;1;7;
Tile;;64,19;1;1;7;
Tile;;64,20;1;1;7;
Tile;;64,21;1;1;7;
Tile;;64,22;1;1;7;
Tile;;64,23;1;1;7;
Tile;;64,24;1;1;7;
Tile;;64,25;1;1;7;
Tile;;64,26;1;1;7;
Tile;;64,27;1;1;7;
Tile;;49,6;1;1;7;
Tile;;50,6;1;1;7;
Tile;;51,6;1;1;7;
Tile;;52,6;1;1;7;
Tile;;53,6;1;1;7;
Tile;;54,6;1;1;7;
Tile;;55,6;1;1;7;
Tile;;56,6;1;1;7;
Tile;;57,6;1;1;7;
Tile;;58,6;1;1;7;
Tile;;59,6;1;1;7;
Tile;;60,6;1;1;7;
Tile;;61,6;1;1;7;
Tile;;62,6;1;1;7;
Tile;;63,6;1;1;7;
Tile;grass;49,7;0;6;6;
NPC;O'kane;52,8;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Screeched;60,15;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Damn';57,13;1;2;1;battle;randomAI;displayDialogue(0);
NPC;'That;57,26;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Dehaven;53,24;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Bakufu;53,13;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Forestlands;51,8;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Underpopulated;63,21;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Malesherbes;57,23;1;2;1;battle;randomAI;displayDialogue(0);
NPC;'Let's;52,25;1;2;1;battle;randomAI;displayDialogue(0);
Zone;Smarted Park;24,-18;48,6;0;
Tile;;24,-18;1;1;7;
Tile;;24,-17;1;1;7;
Tile;;24,-16;1;1;7;
Tile;;24,-15;1;1;7;
Tile;;24,-14;1;1;7;
Tile;;24,-13;1;1;7;
Tile;;24,-12;1;1;7;
Tile;;24,-11;1;1;7;
Tile;;24,-10;1;1;7;
Tile;;24,-9;1;1;7;
Tile;;24,-8;1;1;7;
Tile;;24,-7;1;1;7;
Tile;;24,-6;1;1;7;
Tile;;24,-5;1;1;7;
Tile;;24,-4;1;1;7;
Tile;;24,-3;1;1;7;
Tile;;24,-2;1;1;7;
Tile;;24,-1;1;1;7;
Tile;;24,0;1;1;7;
Tile;;24,1;1;1;7;
Tile;;24,2;1;1;7;
Tile;;24,3;1;1;7;
Tile;;24,4;1;1;7;
Tile;;24,5;1;1;7;
Tile;;24,6;1;1;7;
Tile;;25,6;1;1;7;
Tile;;26,6;1;1;7;
Tile;;27,6;1;1;7;
Tile;;28,6;1;1;7;
Tile;;29,6;1;1;7;
Tile;;30,6;1;1;7;
Tile;;31,6;1;1;7;
Tile;;32,6;1;1;7;
Tile;;34,6;1;1;7;
Tile;;35,6;1;1;7;
Tile;;36,6;1;1;7;
Tile;;37,6;1;1;7;
Tile;;38,6;1;1;7;
Tile;;39,6;1;1;7;
Tile;;40,6;1;1;7;
Tile;;41,6;1;1;7;
Tile;;42,6;1;1;7;
Tile;;43,6;1;1;7;
Tile;;44,6;1;1;7;
Tile;;45,6;1;1;7;
Tile;;46,6;1;1;7;
Tile;;47,6;1;1;7;
Tile;;48,-18;1;1;7;
Tile;;48,-17;1;1;7;
Tile;;48,-16;1;1;7;
Tile;;48,-15;1;1;7;
Tile;;48,-14;1;1;7;
Tile;;48,-13;1;1;7;
Tile;;48,-12;1;1;7;
Tile;;48,-11;1;1;7;
Tile;;48,-10;1;1;7;
Tile;;48,-9;1;1;7;
Tile;;48,-8;1;1;7;
Tile;;48,-7;1;1;7;
Tile;;48,-6;1;1;7;
Tile;;48,-5;1;1;7;
Tile;;48,-4;1;1;7;
Tile;;48,-3;1;1;7;
Tile;;48,-2;1;1;7;
Tile;;48,-1;1;1;7;
Tile;;48,0;1;1;7;
Tile;;48,1;1;1;7;
Tile;;48,2;1;1;7;
Tile;;48,3;1;1;7;
Tile;;48,4;1;1;7;
Tile;;48,5;1;1;7;
Tile;;25,-18;1;1;7;
Tile;;26,-18;1;1;7;
Tile;;27,-18;1;1;7;
Tile;;28,-18;1;1;7;
Tile;;29,-18;1;1;7;
Tile;;30,-18;1;1;7;
Tile;;31,-18;1;1;7;
Tile;;32,-18;1;1;7;
Tile;;33,-18;1;1;7;
Tile;;34,-18;1;1;7;
Tile;;35,-18;1;1;7;
Tile;;36,-18;1;1;7;
Tile;;37,-18;1;1;7;
Tile;;38,-18;1;1;7;
Tile;;39,-18;1;1;7;
Tile;;40,-18;1;1;7;
Tile;;41,-18;1;1;7;
Tile;;42,-18;1;1;7;
Tile;;43,-18;1;1;7;
Tile;;44,-18;1;1;7;
Tile;;45,-18;1;1;7;
Tile;;46,-18;1;1;7;
Tile;;47,-18;1;1;7;
Tile;grass;25,-17;0;6;6;
NPC;Intending;33,-11;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Convincingness;45,-6;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Judy;43,-5;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Sifted;47,-12;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Maurier's;29,-13;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Blademaster;36,-7;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Cardfiles;38,-13;1;2;1;battle;randomAI;displayDialogue(0);
NPC;El's;31,-4;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;24,7;1;1;7;
Tile;;24,8;1;1;7;
Tile;;24,9;1;1;7;
Tile;;24,10;1;1;7;
Tile;;24,11;1;1;7;
Tile;;24,12;1;1;7;
Tile;;24,13;1;1;7;
Tile;;24,14;1;1;7;
Tile;;24,15;1;1;7;
Tile;;24,16;1;1;7;
Tile;;24,17;1;1;7;
Tile;;24,18;1;1;7;
Tile;;24,19;1;1;7;
Tile;;24,20;1;1;7;
Tile;;24,22;1;1;7;
Tile;;24,23;1;1;7;
Tile;;24,24;1;1;7;
Tile;;24,25;1;1;7;
Tile;;35,26;1;1;7;
Tile;;36,26;1;1;7;
Tile;;37,26;1;1;7;
Tile;;38,26;1;1;7;
Tile;;39,26;1;1;7;
Tile;;40,26;1;1;7;
Tile;;41,26;1;1;7;
Tile;;42,26;1;1;7;
Tile;;43,26;1;1;7;
Tile;;44,26;1;1;7;
Tile;;45,26;1;1;7;
Tile;;46,26;1;1;7;
Tile;;47,26;1;1;7;
Tile;;36,23;1;5;6;
Tile;;35,14;1;5;6;
Tile;;31,24;1;5;6;
Tile;;38,15;1;5;6;
Tile;;34,14;1;5;6;
Tile;;42,11;1;5;6;
Tile;;30,23;1;5;6;
Tile;;43,9;1;5;6;
Tile;;44,16;1;5;6;
Tile;;43,8;1;5;6;
Tile;;42,13;1;5;6;
Tile;;41,14;1;5;6;
Tile;;30,20;1;5;6;
Tile;;32,20;1;5;6;
Tile;;29,13;1;5;6;
Tile;;40,18;1;5;6;
Tile;;29,15;1;5;6;
Tile;;47,25;1;5;6;
Tile;;33,20;1;5;6;
Tile;;29,22;1;5;6;
Tile;;31,11;1;5;6;
Tile;;40,25;1;5;6;
Tile;;45,9;1;5;6;
Tile;;39,12;1;5;6;
Tile;;34,13;1;5;6;
Tile;;34,8;1;5;6;
Tile;;37,8;1;5;6;
Tile;;46,18;1;5;6;
Tile;;41,19;1;5;6;
Tile;;38,23;1;5;6;
Tile;;39,14;1;5;6;
Tile;;41,21;1;5;6;
Tile;;40,14;1;5;6;
Tile;;46,15;1;5;6;
Tile;;46,19;1;5;6;
Tile;;27,25;1;5;6;
Tile;;28,21;1;5;6;
Tile;;47,13;1;5;6;
Tile;;32,17;1;5;6;
Tile;;39,19;1;5;6;
Tile;;36,24;1;5;6;
Tile;;29,19;1;5;6;
Tile;;34,24;1;5;6;
Tile;;33,17;1;5;6;
Tile;;46,13;1;5;6;
Tile;;35,16;1;5;6;
Tile;;26,18;1;5;6;
Tile;grass;25,7;0;6;6;
NPC;Channeling;37,18;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Oliver;26,14;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Arse;45,8;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Gonzalo's;28,13;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Caressed;36,12;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Udolpho;31,20;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Spiralled;30,8;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Jumped;41,18;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Auricholatum;37,9;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Theorizing;28,10;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Recalled;38,10;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Ada's;45,17;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Riverbank;31,19;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Mocked;43,11;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Emblazoned;39,9;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-4,23;1;1;7;
Tile;;-4,24;1;1;7;
Tile;;-4,25;1;1;7;
Tile;;-4,26;1;1;7;
Tile;;-4,27;1;1;7;
Tile;;-4,28;1;1;7;
Tile;;-4,29;1;1;7;
Tile;;-4,30;1;1;7;
Tile;;-4,31;1;1;7;
Tile;;-4,32;1;1;7;
Tile;;-4,33;1;1;7;
Tile;;-4,34;1;1;7;
Tile;;-3,34;1;1;7;
Tile;;-2,34;1;1;7;
Tile;;-1,34;1;1;7;
Tile;;1,34;1;1;7;
Tile;;2,34;1;1;7;
Tile;;3,34;1;1;7;
Tile;;4,34;1;1;7;
Tile;;5,34;1;1;7;
Tile;;6,34;1;1;7;
Tile;;7,34;1;1;7;
Tile;;8,34;1;1;7;
Tile;;9,34;1;1;7;
Tile;;10,34;1;1;7;
Tile;;11,34;1;1;7;
Tile;;12,34;1;1;7;
Tile;;13,34;1;1;7;
Tile;;14,34;1;1;7;
Tile;;15,34;1;1;7;
Tile;;16,34;1;1;7;
Tile;;17,34;1;1;7;
Tile;;18,34;1;1;7;
Tile;;19,34;1;1;7;
Tile;;20,34;1;1;7;
Tile;;21,34;1;1;7;
Tile;;22,34;1;1;7;
Tile;;23,34;1;1;7;
Tile;;-3,6;1;1;7;
Tile;;-2,6;1;1;7;
Tile;;-1,6;1;1;7;
Tile;;0,6;1;1;7;
Tile;;1,6;1;1;7;
Tile;;2,6;1;1;7;
Tile;;3,6;1;1;7;
Tile;;4,6;1;1;7;
Tile;;5,6;1;1;7;
Tile;;6,6;1;1;7;
Tile;;7,6;1;1;7;
Tile;;8,6;1;1;7;
Tile;;9,6;1;1;7;
Tile;;10,6;1;1;7;
Tile;;11,6;1;1;7;
Tile;;12,6;1;1;7;
Tile;;13,6;1;1;7;
Tile;;14,6;1;1;7;
Tile;;15,6;1;1;7;
Tile;;16,6;1;1;7;
Tile;;17,6;1;1;7;
Tile;;18,6;1;1;7;
Tile;;19,6;1;1;7;
Tile;;20,6;1;1;7;
Tile;;21,6;1;1;7;
Tile;;22,6;1;1;7;
Tile;;23,6;1;1;7;
Tile;grass;-3,7;0;6;6;
NPC;Madeline's;2,28;1;2;1;battle;randomAI;displayDialogue(0);
NPC;'Harlequin;22,19;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Oddsmaker;13,27;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Michel;8,25;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Sensitised;-1,26;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Barchester;20,9;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Fut;6,25;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Yukichi's;-1,8;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Dracula;0,24;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Madesi's;18,16;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Talkin';16,19;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Tottered;15,22;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Pattering;10,16;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Texians;17,22;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Detained;-2,17;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Respecting;21,15;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Philinnion;2,16;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Jim;3,23;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Narrower;21,26;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Dollymops;15,21;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-4,36;1;1;7;
Tile;;-4,37;1;1;7;
Tile;;-4,38;1;1;7;
Tile;;-4,39;1;1;7;
Tile;;-4,40;1;1;7;
Tile;;-4,41;1;1;7;
Tile;;-4,42;1;1;7;
Tile;;-4,43;1;1;7;
Tile;;-4,44;1;1;7;
Tile;;-3,44;1;1;7;
Tile;;-2,44;1;1;7;
Tile;;-1,44;1;1;7;
Tile;;0,44;1;1;7;
Tile;;1,44;1;1;7;
Tile;;2,44;1;1;7;
Tile;;3,44;1;1;7;
Tile;;4,44;1;1;7;
Tile;;5,44;1;1;7;
Tile;;6,44;1;1;7;
Tile;;6,35;1;1;7;
Tile;;6,36;1;1;7;
Tile;;6,37;1;1;7;
Tile;;6,38;1;1;7;
Tile;;6,39;1;1;7;
Tile;;6,40;1;1;7;
Tile;;6,41;1;1;7;
Tile;;6,42;1;1;7;
Tile;;6,43;1;1;7;
Tile;grass;-3,35;0;6;6;
NPC;Ottoman;0,38;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Ned;2,43;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Lordsaid;3,38;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Indian;-2,43;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Llane's;5,43;1;2;1;battle;randomAI;displayDialogue(0);
Zone;Town of Penguin;-18,24;-4,34;0;
Zone;The Brasses;-44,24;-18,30;0;
Zone;Cave of Regent Knives;-44,14;-28,24;0;
Zone;Compelling Ada's Cavern;-52,14;-44,30;0;
Tile;;-52,14;1;1;7;
Tile;;-52,15;1;1;7;
Tile;;-52,16;1;1;7;
Tile;;-52,17;1;1;7;
Tile;;-52,18;1;1;7;
Tile;;-52,19;1;1;7;
Tile;;-52,20;1;1;7;
Tile;;-52,21;1;1;7;
Tile;;-52,22;1;1;7;
Tile;;-52,23;1;1;7;
Tile;;-52,24;1;1;7;
Tile;;-52,25;1;1;7;
Tile;;-52,26;1;1;7;
Tile;;-52,27;1;1;7;
Tile;;-52,28;1;1;7;
Tile;;-52,29;1;1;7;
Tile;;-52,30;1;1;7;
Tile;;-51,30;1;1;7;
Tile;;-50,30;1;1;7;
Tile;;-49,30;1;1;7;
Tile;;-48,30;1;1;7;
Tile;;-47,30;1;1;7;
Tile;;-46,30;1;1;7;
Tile;;-45,30;1;1;7;
Tile;;-44,30;1;1;7;
Tile;;-44,14;1;1;7;
Tile;;-44,16;1;1;7;
Tile;;-44,17;1;1;7;
Tile;;-44,18;1;1;7;
Tile;;-44,19;1;1;7;
Tile;;-44,20;1;1;7;
Tile;;-44,21;1;1;7;
Tile;;-44,22;1;1;7;
Tile;;-44,23;1;1;7;
Tile;;-44,24;1;1;7;
Tile;;-44,25;1;1;7;
Tile;;-44,26;1;1;7;
Tile;;-44,27;1;1;7;
Tile;;-44,28;1;1;7;
Tile;;-44,29;1;1;7;
Tile;;-51,14;1;1;7;
Tile;;-50,14;1;1;7;
Tile;;-49,14;1;1;7;
Tile;;-48,14;1;1;7;
Tile;;-47,14;1;1;7;
Tile;;-46,14;1;1;7;
Tile;;-45,14;1;1;7;
Tile;;-49,16;1;1;7;
Tile;;-49,28;1;1;7;
Tile;;-48,16;1;1;7;
Tile;;-48,17;1;1;7;
Tile;;-48,18;1;1;7;
Tile;;-48,19;1;1;7;
Tile;;-48,20;1;1;7;
Tile;;-48,21;1;1;7;
Tile;;-48,22;1;1;7;
Tile;;-48,23;1;1;7;
Tile;;-48,24;1;1;7;
Tile;;-48,25;1;1;7;
Tile;;-48,26;1;1;7;
Tile;;-48,27;1;1;7;
Tile;;-48,28;1;1;7;
Tile;;-47,26;1;1;7;
Tile;;-46,15;1;1;7;
Tile;;-46,16;1;1;7;
Tile;;-46,17;1;1;7;
Tile;;-46,18;1;1;7;
Tile;;-46,19;1;1;7;
Tile;;-46,20;1;1;7;
Tile;;-46,21;1;1;7;
Tile;;-46,22;1;1;7;
Tile;;-46,23;1;1;7;
Tile;;-46,24;1;1;7;
Tile;;-46,26;1;1;7;
Tile;;-46,28;1;1;7;
Tile;;-45,28;1;1;7;
Tile;;-51,26;1;1;7;
Tile;;-50,16;1;1;7;
Tile;;-50,18;1;1;7;
Tile;;-50,19;1;1;7;
Tile;;-50,20;1;1;7;
Tile;;-50,21;1;1;7;
Tile;;-50,22;1;1;7;
Tile;;-50,23;1;1;7;
Tile;;-50,24;1;1;7;
Tile;;-50,25;1;1;7;
Tile;;-50,26;1;1;7;
Tile;;-50,28;1;1;7;
Tile;grass;-51,15;0;6;6;
NPC;Barbauld;-50,17;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Cunningest;-45,27;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Department';-45,26;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Iconograph;-45,29;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-43,24;1;1;7;
Tile;;-42,24;1;1;7;
Tile;;-41,24;1;1;7;
Tile;;-40,24;1;1;7;
Tile;;-38,24;1;1;7;
Tile;;-37,24;1;1;7;
Tile;;-36,24;1;1;7;
Tile;;-35,24;1;1;7;
Tile;;-34,24;1;1;7;
Tile;;-33,24;1;1;7;
Tile;;-32,24;1;1;7;
Tile;;-31,24;1;1;7;
Tile;;-30,24;1;1;7;
Tile;;-29,24;1;1;7;
Tile;;-28,24;1;1;7;
Tile;;-28,14;1;1;7;
Tile;;-28,15;1;1;7;
Tile;;-28,16;1;1;7;
Tile;;-28,17;1;1;7;
Tile;;-28,18;1;1;7;
Tile;;-28,19;1;1;7;
Tile;;-28,20;1;1;7;
Tile;;-28,21;1;1;7;
Tile;;-28,22;1;1;7;
Tile;;-28,23;1;1;7;
Tile;;-43,14;1;1;7;
Tile;;-42,14;1;1;7;
Tile;;-41,14;1;1;7;
Tile;;-40,14;1;1;7;
Tile;;-39,14;1;1;7;
Tile;;-38,14;1;1;7;
Tile;;-37,14;1;1;7;
Tile;;-36,14;1;1;7;
Tile;;-35,14;1;1;7;
Tile;;-34,14;1;1;7;
Tile;;-33,14;1;1;7;
Tile;;-32,14;1;1;7;
Tile;;-31,14;1;1;7;
Tile;;-30,14;1;1;7;
Tile;;-29,14;1;1;7;
Tile;;-41,16;1;1;7;
Tile;;-41,22;1;1;7;
Tile;;-32,16;1;1;7;
Tile;;-32,17;1;1;7;
Tile;;-32,18;1;1;7;
Tile;;-32,20;1;1;7;
Tile;;-32,21;1;1;7;
Tile;;-32,22;1;1;7;
Tile;;-40,15;1;1;7;
Tile;;-32,23;1;1;7;
Tile;;-40,16;1;1;7;
Tile;;-40,18;1;1;7;
Tile;;-40,19;1;1;7;
Tile;;-40,20;1;1;7;
Tile;;-40,21;1;1;7;
Tile;;-40,22;1;1;7;
Tile;;-31,16;1;1;7;
Tile;;-39,16;1;1;7;
Tile;;-39,22;1;1;7;
Tile;;-30,16;1;1;7;
Tile;;-30,17;1;1;7;
Tile;;-30,18;1;1;7;
Tile;;-30,20;1;1;7;
Tile;;-30,21;1;1;7;
Tile;;-30,22;1;1;7;
Tile;;-38,16;1;1;7;
Tile;;-38,17;1;1;7;
Tile;;-38,18;1;1;7;
Tile;;-38,19;1;1;7;
Tile;;-38,20;1;1;7;
Tile;;-38,22;1;1;7;
Tile;;-29,20;1;1;7;
Tile;;-37,16;1;1;7;
Tile;;-37,20;1;1;7;
Tile;;-36,16;1;1;7;
Tile;;-36,18;1;1;7;
Tile;;-36,20;1;1;7;
Tile;;-36,21;1;1;7;
Tile;;-36,22;1;1;7;
Tile;;-35,16;1;1;7;
Tile;;-35,18;1;1;7;
Tile;;-35,22;1;1;7;
Tile;;-43,22;1;1;7;
Tile;;-34,16;1;1;7;
Tile;;-34,18;1;1;7;
Tile;;-34,19;1;1;7;
Tile;;-34,20;1;1;7;
Tile;;-34,22;1;1;7;
Tile;;-42,16;1;1;7;
Tile;;-42,17;1;1;7;
Tile;;-42,18;1;1;7;
Tile;;-42,19;1;1;7;
Tile;;-42,20;1;1;7;
Tile;;-42,22;1;1;7;
Tile;;-33,18;1;1;7;
Tile;;-33,20;1;1;7;
Tile;grass;-43,15;0;6;6;
NPC;Propagated;-29,16;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Dum;-41,21;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Zweiblumen;-31,18;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-43,30;1;1;7;
Tile;;-42,30;1;1;7;
Tile;;-41,30;1;1;7;
Tile;;-40,30;1;1;7;
Tile;;-39,30;1;1;7;
Tile;;-38,30;1;1;7;
Tile;;-37,30;1;1;7;
Tile;;-36,30;1;1;7;
Tile;;-35,30;1;1;7;
Tile;;-34,30;1;1;7;
Tile;;-33,30;1;1;7;
Tile;;-32,30;1;1;7;
Tile;;-31,30;1;1;7;
Tile;;-30,30;1;1;7;
Tile;;-29,30;1;1;7;
Tile;;-28,30;1;1;7;
Tile;;-27,30;1;1;7;
Tile;;-26,30;1;1;7;
Tile;;-25,30;1;1;7;
Tile;;-24,30;1;1;7;
Tile;;-23,30;1;1;7;
Tile;;-22,30;1;1;7;
Tile;;-21,30;1;1;7;
Tile;;-20,30;1;1;7;
Tile;;-19,30;1;1;7;
Tile;;-18,30;1;1;7;
Tile;;-18,24;1;1;7;
Tile;;-18,25;1;1;7;
Tile;;-18,26;1;1;7;
Tile;;-18,27;1;1;7;
Tile;;-18,28;1;1;7;
Tile;;-27,24;1;1;7;
Tile;;-26,24;1;1;7;
Tile;;-25,24;1;1;7;
Tile;;-24,24;1;1;7;
Tile;;-23,24;1;1;7;
Tile;;-22,24;1;1;7;
Tile;;-21,24;1;1;7;
Tile;;-20,24;1;1;7;
Tile;;-19,24;1;1;7;
Tile;grass;-43,25;0;6;6;
Tile;;-18,31;1;1;7;
Tile;;-18,32;1;1;7;
Tile;;-18,33;1;1;7;
Tile;;-18,34;1;1;7;
Tile;;-17,34;1;1;7;
Tile;;-16,34;1;1;7;
Tile;;-15,34;1;1;7;
Tile;;-14,34;1;1;7;
Tile;;-13,34;1;1;7;
Tile;;-12,34;1;1;7;
Tile;;-11,34;1;1;7;
Tile;;-10,34;1;1;7;
Tile;;-9,34;1;1;7;
Tile;;-8,34;1;1;7;
Tile;;-6,34;1;1;7;
Tile;;-5,34;1;1;7;
Tile;;-17,24;1;1;7;
Tile;;-16,24;1;1;7;
Tile;;-15,24;1;1;7;
Tile;;-14,24;1;1;7;
Tile;;-13,24;1;1;7;
Tile;;-12,24;1;1;7;
Tile;;-11,24;1;1;7;
Tile;;-10,24;1;1;7;
Tile;;-9,24;1;1;7;
Tile;;-8,24;1;1;7;
Tile;;-7,24;1;1;7;
Tile;;-6,24;1;1;7;
Tile;;-5,24;1;1;7;
Tile;grass;-17,25;0;6;6;
NPC;Kicked;-16,31;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Applauded;-9,26;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-18,35;1;1;7;
Tile;;-18,36;1;1;7;
Tile;;-18,37;1;1;7;
Tile;;-18,38;1;1;7;
Tile;;-18,39;1;1;7;
Tile;;-18,41;1;1;7;
Tile;;-18,42;1;1;7;
Tile;;-18,43;1;1;7;
Tile;;-18,44;1;1;7;
Tile;;-18,45;1;1;7;
Tile;;-18,46;1;1;7;
Tile;;-18,47;1;1;7;
Tile;;-18,48;1;1;7;
Tile;;-18,49;1;1;7;
Tile;;-18,50;1;1;7;
Tile;;-17,50;1;1;7;
Tile;;-16,50;1;1;7;
Tile;;-15,50;1;1;7;
Tile;;-14,50;1;1;7;
Tile;;-13,50;1;1;7;
Tile;;-12,50;1;1;7;
Tile;;-11,50;1;1;7;
Tile;;-10,50;1;1;7;
Tile;;-9,50;1;1;7;
Tile;;-8,50;1;1;7;
Tile;;-7,50;1;1;7;
Tile;;-6,50;1;1;7;
Tile;;-5,50;1;1;7;
Tile;;-4,50;1;1;7;
Tile;;-4,45;1;1;7;
Tile;;-4,46;1;1;7;
Tile;;-4,47;1;1;7;
Tile;;-4,48;1;1;7;
Tile;;-4,49;1;1;7;
Tile;grass;-17,35;0;6;6;
NPC;Overtaxed;-15,41;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Windsor;-8,40;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Adrenalin;-8,39;1;2;1;battle;randomAI;displayDialogue(0);
NPC;Hyde;-6,42;1;2;1;battle;randomAI;displayDialogue(0);
Tile;;-28,34;1;1;7;
Tile;;-28,35;1;1;7;
Tile;;-28,36;1;1;7;
Tile;;-28,37;1;1;7;
Tile;;-28,38;1;1;7;
Tile;;-28,39;1;1;7;
Tile;;-28,40;1;1;7;
Tile;;-28,41;1;1;7;
Tile;;-28,42;1;1;7;
Tile;;-28,43;1;1;7;
Tile;;-28,44;1;1;7;
Tile;;-28,45;1;1;7;
Tile;;-28,46;1;1;7;
Tile;;-28,47;1;1;7;
Tile;;-28,48;1;1;7;
Tile;;-28,49;1;1;7;
Tile;;-27,50;1;1;7;
Tile;;-26,50;1;1;7;
Tile;;-25,50;1;1;7;
Tile;;-24,50;1;1;7;
Tile;;-22,50;1;1;7;
Tile;;-21,50;1;1;7;
Tile;;-20,50;1;1;7;
Tile;;-19,50;1;1;7;
Tile;;-27,34;1;1;7;
Tile;;-26,34;1;1;7;
Tile;;-25,34;1;1;7;
Tile;;-24,34;1;1;7;
Tile;;-23,34;1;1;7;
Tile;;-22,34;1;1;7;
Tile;;-21,34;1;1;7;
